token	corpus size	contexts size	frequency	co-frequency	specificity
l	93016	13107	3644	1671	490.21
de	93016	13107	4240	774	14.66
d	93016	13107	2525	437	6.22
la	93016	13107	2492	325	-2.14
est	93016	13107	1173	292	22.63
et	93016	13107	1952	274	-1.58
un	93016	13107	1175	256	12.70
le	93016	13107	1625	220	-1.63
une	93016	13107	1177	179	1.75
dans	93016	13107	978	170	3.28
que	93016	13107	1076	153	1.46
en	93016	13107	1141	134	-2.63
les	93016	13107	1335	127	-7.07
r	93016	13107	973	112	-2.64
qui	93016	13107	795	101	-1.65
des	93016	13107	1003	98	-5.11
a	93016	13107	519	94	2.75
comme	93016	13107	370	89	6.97
s	93016	13107	934	89	-5.25
il	93016	13107	756	88	-2.21
pour	93016	13107	618	87	1.33
nous	93016	13107	643	86	-1.39
n	93016	13107	549	85	1.51
au	93016	13107	425	80	2.88
pas	93016	13107	515	77	1.37
du	93016	13107	637	76	-1.87
espoir	93016	13107	1834	74	-46.41
ce	93016	13107	562	61	-2.41
peut	93016	13107	301	60	2.91
sur	93016	13107	424	60	1.25
plus	93016	13107	478	60	-1.47
qu	93016	13107	479	58	-1.61
ne	93016	13107	398	55	-1.24
t	93016	13107	437	53	-1.55
c	93016	13107	396	53	-1.27
th	93016	13107	175	47	5.40
se	93016	13107	361	46	-1.32
vous	93016	13107	381	44	-1.66
on	93016	13107	374	43	-1.67
par	93016	13107	456	43	-3.18
vie	93016	13107	285	42	1.20
e	93016	13107	475	41	-4.08
ou	93016	13107	375	40	-2.03
fait	93016	13107	176	40	3.20
y	93016	13107	182	40	2.93
re	93016	13107	314	40	-1.28
tre	93016	13107	331	37	-1.70
m	93016	13107	548	37	-7.57
donner	93016	13107	77	37	12.03
force	93016	13107	80	36	10.69
esp	93016	13107	410	36	-3.51
mais	93016	13107	266	36	-1.16
cette	93016	13107	271	30	-1.59
entre	93016	13107	128	29	2.54
son	93016	13107	197	28	1.09
sespoir	93016	13107	162	28	1.36
sans	93016	13107	121	27	2.35
car	93016	13107	81	27	5.18
o	93016	13107	119	27	2.43
vivre	93016	13107	84	26	4.41
pouvoir	93016	13107	68	25	5.69
orie	93016	13107	45	24	9.24
trouver	93016	13107	46	23	8.18
rance	93016	13107	234	23	-1.90
cet	93016	13107	76	22	3.43
snyder	93016	13107	69	22	4.06
notre	93016	13107	202	22	-1.45
si	93016	13107	169	22	-1.08
me	93016	13107	354	21	-6.30
sa	93016	13107	181	21	-1.25
ont	93016	13107	119	20	1.16
philosophie	93016	13107	47	20	5.82
tout	93016	13107	177	20	-1.29
v	93016	13107	156	20	-1.07
pr	93016	13107	281	20	-3.96
elle	93016	13107	197	20	-1.63
comment	93016	13107	68	20	3.27
sont	93016	13107	185	19	-1.54
sens	93016	13107	99	19	1.42
avec	93016	13107	248	19	-3.18
ainsi	93016	13107	126	19	1.03
bien	93016	13107	177	19	-1.40
je	93016	13107	240	19	-2.93
chr	93016	13107	58	19	3.77
aussi	93016	13107	138	18	-1.03
avoir	93016	13107	80	18	1.86
avenir	93016	13107	130	18	1.00
toujours	93016	13107	94	17	1.22
j	93016	13107	223	17	-2.96
non	93016	13107	98	17	1.15
leur	93016	13107	165	17	-1.46
chez	93016	13107	80	17	1.62
cultiver	93016	13107	22	16	9.14
selon	93016	13107	74	16	1.62
niveau	93016	13107	28	16	6.93
attente	93016	13107	70	15	1.54
seulement	93016	13107	61	15	1.95
tant	93016	13107	77	15	1.31
nourrir	93016	13107	22	15	8.00
p	93016	13107	167	14	-2.07
ses	93016	13107	147	14	-1.56
donc	93016	13107	77	14	1.15
sujet	93016	13107	61	14	1.66
chapitre	93016	13107	19	14	8.18
garder	93016	13107	19	13	7.03
sentiment	93016	13107	78	13	1.01
ces	93016	13107	114	13	-1.09
appara	93016	13107	30	13	4.11
partie	93016	13107	39	13	2.87
crainte	93016	13107	34	13	3.48
dimension	93016	13107	59	13	1.49
politique	93016	13107	62	13	1.38
ussite	93016	13107	21	12	5.34
diff	93016	13107	73	12	0.97
ritable	93016	13107	21	12	5.34
moteur	93016	13107	21	12	5.34
jamais	93016	13107	51	12	1.58
dit	93016	13107	85	12	0.91
votre	93016	13107	83	12	0.91
action	93016	13107	80	12	0.92
esprit	93016	13107	52	11	1.29
capacit	93016	13107	48	11	1.45
fran	93016	13107	53	11	1.25
tait	93016	13107	66	11	0.96
alors	93016	13107	65	11	0.97
celui	93016	13107	61	11	1.04
avons	93016	13107	47	11	1.50
ai	93016	13107	67	11	0.95
lorsque	93016	13107	54	11	1.22
silience	93016	13107	43	11	1.71
analyse	93016	13107	56	11	1.16
voir	93016	13107	60	10	0.93
tat	93016	13107	42	10	1.45
cr	93016	13107	50	10	1.14
perdu	93016	13107	17	10	4.68
stabilisante	93016	13107	10	10	8.51
dieu	93016	13107	126	10	-1.88
foi	93016	13107	65	10	0.89
psychologique	93016	13107	47	10	1.24
chose	93016	13107	71	10	0.87
seul	93016	13107	35	10	1.90
leurs	93016	13107	85	10	-0.96
donne	93016	13107	39	10	1.62
permet	93016	13107	38	10	1.68
g	93016	13107	123	10	-1.79
grandit	93016	13107	4	10	-16.12
conomie	93016	13107	53	10	1.06
technologies	93016	13107	12	10	6.82
clinique	93016	13107	55	10	1.01
consid	93016	13107	53	9	0.92
caract	93016	13107	38	9	1.36
deux	93016	13107	89	9	-1.13
devient	93016	13107	23	9	2.67
agit	93016	13107	37	9	1.41
te	93016	13107	119	9	-1.93
implique	93016	13107	26	9	2.29
art	93016	13107	35	9	1.53
quelque	93016	13107	65	9	0.85
monde	93016	13107	97	9	-1.31
quence	93016	13107	29	9	1.98
quand	93016	13107	86	9	-1.08
rer	93016	13107	178	9	-4.21
livre	93016	13107	31	9	1.81
notamment	93016	13107	39	9	1.31
peu	93016	13107	41	9	1.23
notion	93016	13107	29	9	1.98
bon	93016	13107	26	9	2.29
dont	93016	13107	69	9	0.86
place	93016	13107	35	9	1.53
ils	93016	13107	145	9	-2.85
devenir	93016	13107	31	9	1.81
essentiel	93016	13107	22	8	2.23
na	93016	13107	22	8	2.23
fa	93016	13107	71	8	-0.94
peur	93016	13107	28	8	1.64
in	93016	13107	39	8	1.06
concept	93016	13107	22	8	2.23
autres	93016	13107	93	8	-1.41
motion	93016	13107	37	8	1.13
forme	93016	13107	55	8	0.82
souvent	93016	13107	68	8	-0.90
id	93016	13107	67	8	-0.89
contre	93016	13107	54	8	0.83
galement	93016	13107	57	8	0.82
reste	93016	13107	25	8	1.90
amour	93016	13107	50	8	0.85
del	93016	13107	27	8	1.72
importance	93016	13107	30	8	1.49
entretenir	93016	13107	13	8	4.03
faire	93016	13107	126	8	-2.49
dire	93016	13107	84	8	-1.18
button	93016	13107	125	8	-2.46
li	93016	13107	33	8	1.32
int	93016	13107	92	8	-1.38
