item	total	count part-1	specif part-1	count part-2	specif part-2
	58301		22837		35464
の	2300	873	-2.08	1427	2.08
、	2202	780	-4.71	1422	4.71
を	1544	522	-5.90	1022	5.90
に	1492	452	-13.00	1040	13.00
。	1453	428	-14.93	1025	14.93
は	1317	366	-18.24	951	18.24
が	1213	351	-13.89	862	13.89
て	1099	344	-8.09	755	8.09
期待	1008	3	-212.39	1005	212.39
」	886	268	-8.28	618	8.28
と	869	275	-6.21	594	6.21
「	861	272	-6.23	589	6.23
で	810	233	-9.95	577	9.95
し	687	174	-14.33	513	14.33
た	668	324	6.76	344	-6.76
希望	573	522	151.40	51	-151.40
https	534	309	18.09	225	-18.09
こと	528	98	-24.24	430	24.24
ます	442	88	-17.86	354	17.86
も	439	124	-6.40	315	6.40
な	435	119	-7.21	316	7.21
する	389	98	-8.73	291	8.73
ない	361	87	-9.34	274	9.34
）	316	215	24.77	101	-24.77
（	311	212	24.61	99	-24.61
です	300	54	-14.96	246	14.96
か	278	69	-6.83	209	6.83
いる	258	66	-5.86	192	5.86
org	257	120	2.61	137	-2.61
から	225	79	-1.60	146	1.60
wikipedia	223	105	2.52	118	-2.52
や	222	45	-9.13	177	9.13
・	221	142	13.58	79	-13.58
ja	217	105	2.92	112	-2.92
自分	214	31	-14.83	183	14.83
う	206	52	-5.07	154	5.07
ある	202	61	-2.75	141	2.75
人	199	72	-1.39	127	1.39
よう	197	56	-3.37	141	3.37
い	195	60	-2.51	135	2.51
という	174	33	-8.30	141	8.30
年	173	100	6.53	73	-6.53
wiki	169	84	2.89	85	-2.89
だ	164	57	-1.48	107	1.48
さ	161	59	-1.28	102	1.28
れ	160	57	-1.37	103	1.37
的	158	26	-9.49	132	9.49
あり	152	29	-7.29	123	7.29
この	144	31	-5.54	113	5.54
www	144	112	20.52	32	-20.52
1	143	66	1.80	77	-1.80
com	138	106	18.74	32	-18.74
3	134	94	12.57	40	-12.57
ん	126	34	-2.89	92	2.89
jp	126	83	9.09	43	-9.09
その	124	35	-2.52	89	2.52
相手	122	1	-24.48	121	24.48
たい	118	28	-3.82	90	3.82
2	114	61	3.21	53	-3.21
：	107	86	17.57	21	-17.57
？	106	33	-1.72	73	1.72
日	104	68	7.41	36	-7.41
なる	104	22	-4.38	82	4.38
もの	101	23	-3.70	78	3.70
へ	98	45	1.49	53	-1.49
まし	92	55	4.53	37	-4.53
php	91	53	4.00	38	-4.00
について	90	39	1.21	51	-1.21
ため	89	18	-4.18	71	4.18
心理	89	0	-19.23	89	19.23
5	86	53	4.89	33	-4.89
2025	83	71	17.53	12	-17.53
れる	83	14	-5.18	69	5.18
12	82	62	10.77	20	-10.77
ば	81	22	-2.12	59	2.12
なく	81	25	-1.55	56	1.55
感	79	7	-8.94	72	8.94
