token	corpus size	all contexts size	frequency	co-frequency	specificity
大使	22837	6874	55	52	23.22
「	22837	6874	272	158	21.36
」	22837	6874	268	148	17.31
進学	22837	6874	34	33	15.85
グループ	22837	6874	26	26	13.57
進路	22837	6874	23	22	10.28
別	22837	6874	44	34	9.91
状況	22837	6874	31	26	9.12
title	22837	6874	26	23	9.05
text	22837	6874	21	19	7.90
全日	22837	6874	15	15	7.83
課程	22837	6874	23	20	7.65
学	22837	6874	14	14	7.30
学校	22837	6874	29	23	7.26
w	22837	6874	24	20	7.03
倍率	22837	6874	13	13	6.78
の	22837	6874	873	328	6.57
と	22837	6874	275	121	6.50
index	22837	6874	25	20	6.49
について	22837	6874	39	27	6.36
は	22837	6874	366	153	6.33
思い切っ	22837	6874	12	12	6.26
画材	22837	6874	12	12	6.26
断	22837	6874	12	12	6.26
捨離	22837	6874	12	12	6.26
制	22837	6874	26	20	6.01
公立	22837	6874	29	21	5.57
における	22837	6874	10	10	5.22
ほっ	22837	6874	10	10	5.22
かい	22837	6874	10	10	5.22
美術	22837	6874	15	13	5.07
A	22837	6874	12	11	4.81
を	22837	6874	522	195	4.23
グッズ	22837	6874	8	8	4.17
まち	22837	6874	13	11	4.16
でし	22837	6874	15	12	4.07
本人	22837	6874	19	14	4.01
任命	22837	6874	10	9	3.85
action	22837	6874	10	9	3.85
って	22837	6874	28	18	3.83
ゆめ	22837	6874	12	10	3.71
bottun	22837	6874	14	11	3.64
gif	22837	6874	14	11	3.64
者	22837	6874	44	24	3.38
退職	22837	6874	23	15	3.38
購入	22837	6874	9	8	3.37
家族	22837	6874	9	8	3.37
花	22837	6874	9	8	3.37
率	22837	6874	11	9	3.26
合わせ	22837	6874	11	9	3.26
ー	22837	6874	6	6	3.13
cite	22837	6874	6	6	3.13
学び	22837	6874	6	6	3.13
トレイン	22837	6874	6	6	3.13
（	22837	6874	212	83	2.97
だ	22837	6874	57	28	2.94
ためし	22837	6874	8	7	2.90
政治	22837	6874	8	7	2.90
卒業	22837	6874	10	8	2.83
見込	22837	6874	10	8	2.83
咲く	22837	6874	10	8	2.83
どう	22837	6874	23	14	2.79
php	22837	6874	53	26	2.77
ja	22837	6874	105	45	2.77
！	22837	6874	33	18	2.71
新しい	22837	6874	19	12	2.64
黒字	22837	6874	5	5	2.61
リストラ	22837	6874	5	5	2.61
恐怖	22837	6874	5	5	2.61
部長	22837	6874	5	5	2.61
課長	22837	6874	5	5	2.61
襲う	22837	6874	5	5	2.61
役職	22837	6874	5	5	2.61
玄	22837	6874	5	5	2.61
侑	22837	6874	5	5	2.61
高	22837	6874	5	5	2.61
edit	22837	6874	5	5	2.61
助成	22837	6874	5	5	2.61
Light	22837	6874	5	5	2.61
the	22837	6874	5	5	2.61
World	22837	6874	5	5	2.61
場合	22837	6874	15	10	2.52
光	22837	6874	13	9	2.46
願望	22837	6874	13	9	2.46
持つ	22837	6874	7	6	2.44
瑞	22837	6874	7	6	2.44
へ	22837	6874	45	22	2.44
課題	22837	6874	11	8	2.42
将来	22837	6874	9	7	2.41
持っ	22837	6874	9	7	2.41
一文字	22837	6874	9	7	2.41
が	22837	6874	351	124	2.32
マツダ	22837	6874	16	10	2.24
症	22837	6874	47	22	2.19
する	22837	6874	98	40	2.19
収載	22837	6874	14	9	2.17
wikipedia	22837	6874	105	42	2.11
版	22837	6874	12	8	2.10
調査	22837	6874	12	8	2.10
106386020	22837	6874	4	4	2.09
returnto	22837	6874	4	4	2.09
google	22837	6874	4	4	2.09
hl	22837	6874	4	4	2.09
type	22837	6874	4	4	2.09
最低	22837	6874	4	4	2.09
試算	22837	6874	4	4	2.09
奇跡	22837	6874	4	4	2.09
番組	22837	6874	4	4	2.09
山下	22837	6874	4	4	2.09
達郎	22837	6874	4	4	2.09
研究所	22837	6874	4	4	2.09
こそ	22837	6874	10	7	2.04
歌	22837	6874	10	7	2.04
認知	22837	6874	46	21	2.00
しか	22837	6874	8	6	1.99
宿泊	22837	6874	6	5	1.98
“	22837	6874	39	18	1.86
世界	22837	6874	13	8	1.84
時点	22837	6874	11	7	1.75
、	22837	6874	780	248	1.74
たち	22837	6874	24	12	1.69
待機	22837	6874	9	6	1.67
列	22837	6874	9	6	1.67
にとって	22837	6874	9	6	1.67
動き	22837	6874	9	6	1.67
org	22837	6874	120	44	1.64
長期	22837	6874	14	8	1.63
実現	22837	6874	7	5	1.60
新た	22837	6874	7	5	1.60
＆	22837	6874	7	5	1.60
中学校	22837	6874	7	5	1.60
新年	22837	6874	7	5	1.60
of	22837	6874	7	5	1.60
に	22837	6874	452	145	1.58
わかれ	22837	6874	3	3	1.56
事例	22837	6874	3	3	1.56
気づい	22837	6874	3	3	1.56
求める	22837	6874	3	3	1.56
満ち	22837	6874	3	3	1.56
内幕	22837	6874	3	3	1.56
宗久	22837	6874	3	3	1.56
書き入れ	22837	6874	3	3	1.56
リアリズム	22837	6874	3	3	1.56
曖昧	22837	6874	3	3	1.56
回避	22837	6874	3	3	1.56
oldid	22837	6874	3	3	1.56
go	22837	6874	3	3	1.56
乗せ	22837	6874	3	3	1.56
=【	22837	6874	3	3	1.56
黄金	22837	6874	3	3	1.56
通常	22837	6874	3	3	1.56
盤	22837	6874	3	3	1.56
始め	22837	6874	3	3	1.56
東京大学	22837	6874	3	3	1.56
科学	22837	6874	3	3	1.56
|　[	22837	6874	3	3	1.56
顔	22837	6874	3	3	1.56
MP	22837	6874	3	3	1.56
医薬品	22837	6874	3	3	1.56
回	22837	6874	17	9	1.55
向かう	22837	6874	5	4	1.54
定義	22837	6874	5	4	1.54
定年	22837	6874	5	4	1.54
機能	22837	6874	5	4	1.54
失望	22837	6874	5	4	1.54
詰まっ	22837	6874	5	4	1.54
奥原	22837	6874	5	4	1.54
多く	22837	6874	12	7	1.53
社会	22837	6874	12	7	1.53
”	22837	6874	40	17	1.49
何	22837	6874	23	11	1.47
て	22837	6874	344	110	1.46
思っ	22837	6874	10	6	1.43
競争	22837	6874	10	6	1.43
絶望	22837	6874	10	6	1.43
q	22837	6874	10	6	1.43
京都	22837	6874	10	6	1.43
未来	22837	6874	18	9	1.41
）	22837	6874	215	70	1.37
？	22837	6874	33	14	1.34
という	22837	6874	33	14	1.34
考える	22837	6874	8	5	1.33
費	22837	6874	8	5	1.33
た	22837	6874	324	97	1.31
数	22837	6874	16	8	1.31
ば	22837	6874	22	10	1.27
高校	22837	6874	25	11	1.26
時	22837	6874	31	13	1.26
言葉	22837	6874	11	6	1.24
・	22837	6874	142	46	1.22
小さい	22837	6874	6	4	1.22
聞く	22837	6874	6	4	1.22
過去	22837	6874	6	4	1.22
小田	22837	6874	6	4	1.22
和正	22837	6874	6	4	1.22
勝ち	22837	6874	6	4	1.22
The	22837	6874	6	4	1.22
名	22837	6874	14	7	1.20
ある	22837	6874	61	22	1.19
支援	22837	6874	29	12	1.19
さん	22837	6874	39	15	1.15
性	22837	6874	36	14	1.14
幸福	22837	6874	9	5	1.13
たり	22837	6874	9	5	1.13
高等	22837	6874	9	5	1.13
前年度	22837	6874	9	5	1.13
若者	22837	6874	9	5	1.13
プロジェクト	22837	6874	9	5	1.13
くる	22837	6874	4	3	1.12
とか	22837	6874	4	3	1.12
パン	22837	6874	4	3	1.12
ほう	22837	6874	4	3	1.12
だから	22837	6874	4	3	1.12
個人	22837	6874	4	3	1.12
あふれる	22837	6874	4	3	1.12
作家	22837	6874	4	3	1.12
開封	22837	6874	4	3	1.12
キリスト教	22837	6874	4	3	1.12
ref	22837	6874	4	3	1.12
大阪芸術大学	22837	6874	4	3	1.12
絵	22837	6874	4	3	1.12
喜び	22837	6874	4	3	1.12
ふさわしい	22837	6874	4	3	1.12
パーセント	22837	6874	4	3	1.12
バージョン	22837	6874	4	3	1.12
生まれ	22837	6874	4	3	1.12
取り戻す	22837	6874	4	3	1.12
な	22837	6874	119	36	1.10
特別	22837	6874	24	10	1.10
抽選	22837	6874	12	6	1.10
意味	22837	6874	12	6	1.10
それ	22837	6874	12	6	1.10
aik	22837	6874	12	6	1.10
2025122908	22837	6874	12	6	1.10
29	22837	6874	21	9	1.09
だろ	22837	6874	15	7	1.09
だけ	22837	6874	15	7	1.09
クリスマス	22837	6874	15	7	1.09
2	22837	6874	61	21	1.09
ない	22837	6874	87	28	1.08
ん	22837	6874	34	13	1.08
わかる	22837	6874	2	2	1.04
挙げ	22837	6874	2	2	1.04
感じる	22837	6874	2	2	1.04
どっち	22837	6874	2	2	1.04
強弱	22837	6874	2	2	1.04
強く	22837	6874	2	2	1.04
まず	22837	6874	2	2	1.04
話し	22837	6874	2	2	1.04
自覚	22837	6874	2	2	1.04
あたえ	22837	6874	2	2	1.04
広げ	22837	6874	2	2	1.04
ホームページ	22837	6874	2	2	1.04
再任	22837	6874	2	2	1.04
マップ	22837	6874	2	2	1.04
巨大	22837	6874	2	2	1.04
t	22837	6874	2	2	1.04
アプローチ	22837	6874	2	2	1.04
問い	22837	6874	2	2	1.04
125	22837	6874	2	2	1.04
書籍	22837	6874	2	2	1.04
いわ	22837	6874	2	2	1.04
159	22837	6874	2	2	1.04
164	22837	6874	2	2	1.04
166	22837	6874	2	2	1.04
331	22837	6874	2	2	1.04
アカウント	22837	6874	2	2	1.04
ログイン	22837	6874	2	2	1.04
history	22837	6874	2	2	1.04
page	22837	6874	2	2	1.04
wikiquote	22837	6874	2	2	1.04
num	22837	6874	2	2	1.04
scholar	22837	6874	2	2	1.04
jps	22837	6874	2	2	1.04
cross	22837	6874	2	2	1.04
新浜	22837	6874	2	2	1.04
公表	22837	6874	2	2	1.04
－	22837	6874	2	2	1.04
与える	22837	6874	2	2	1.04
神戸	22837	6874	2	2	1.04
載せ	22837	6874	2	2	1.04
走り	22837	6874	2	2	1.04
一人ひとり	22837	6874	2	2	1.04
余地	22837	6874	2	2	1.04
輝かしい	22837	6874	2	2	1.04
被災	22837	6874	2	2	1.04
ゲスト	22837	6874	2	2	1.04
展開	22837	6874	2	2	1.04
パラドキシカル	22837	6874	2	2	1.04
─	22837	6874	2	2	1.04
ぬ	22837	6874	2	2	1.04
ヘレン	22837	6874	2	2	1.04
ケラー	22837	6874	2	2	1.04
むしろ	22837	6874	2	2	1.04
いたっ	22837	6874	2	2	1.04
持た	22837	6874	2	2	1.04
によって	22837	6874	2	2	1.04
長年	22837	6874	2	2	1.04
wiki	22837	6874	84	26	1.03
その	22837	6874	35	13	1.03
か	22837	6874	69	22	1.01
実施	22837	6874	7	4	1.01
タイム	22837	6874	7	4	1.01
カプセル	22837	6874	7	4	1.01
最高	22837	6874	7	4	1.01
よ	22837	6874	19	8	1.00
第	22837	6874	19	8	1.00
人	22837	6874	72	22	0.99
品	22837	6874	36	13	0.99
見え	22837	6874	10	5	0.98
等	22837	6874	10	5	0.98
音楽	22837	6874	10	5	0.98
％	22837	6874	13	6	0.98
01	22837	6874	13	6	0.98
お	22837	6874	23	9	0.96
】	22837	6874	45	15	0.95
隊	22837	6874	20	8	0.94
地域	22837	6874	27	10	0.93
う	22837	6874	52	15	0.92
0	22837	6874	28	10	0.90
でも	22837	6874	14	6	0.90
クリック	22837	6874	14	6	0.90
全	22837	6874	14	6	0.90
や	22837	6874	45	13	0.89
として	22837	6874	21	8	0.88
本質	22837	6874	11	5	0.88
状態	22837	6874	11	5	0.88
［	22837	6874	11	5	0.88
愛知	22837	6874	11	5	0.88
B	22837	6874	11	5	0.88
やっぱり	22837	6874	5	3	0.88
ご飯	22837	6874	5	3	0.88
最初	22837	6874	5	3	0.88
影響	22837	6874	5	3	0.88
出世	22837	6874	5	3	0.88
神話	22837	6874	5	3	0.88
地	22837	6874	5	3	0.88
大	22837	6874	5	3	0.88
結果	22837	6874	5	3	0.88
今日	22837	6874	5	3	0.88
発信	22837	6874	5	3	0.88
語る	22837	6874	5	3	0.88
具体	22837	6874	5	3	0.88
可能	22837	6874	33	11	0.87
活動	22837	6874	29	10	0.87
言っ	22837	6874	8	4	0.86
場	22837	6874	8	4	0.86
頃	22837	6874	8	4	0.86
先発	22837	6874	8	4	0.86
ワールド	22837	6874	8	4	0.86
き	22837	6874	18	7	0.86
できる	22837	6874	18	7	0.86
子ども	22837	6874	18	7	0.86
協力	22837	6874	30	10	0.85
なかっ	22837	6874	15	6	0.83
感じ	22837	6874	19	7	0.81
11	22837	6874	12	5	0.80
30	22837	6874	12	5	0.80
応募	22837	6874	12	5	0.80
2026	22837	6874	25	8	0.78
article	22837	6874	25	8	0.78
患者	22837	6874	27	8	0.78
的	22837	6874	26	8	0.78
25	22837	6874	26	8	0.78
じゃ	22837	6874	9	4	0.76
とともに	22837	6874	9	4	0.76
佐賀	22837	6874	9	4	0.76
約束	22837	6874	9	4	0.76
方	22837	6874	21	7	0.76
co	22837	6874	21	7	0.76
市	22837	6874	24	7	0.75
より	22837	6874	22	7	0.75
受験	22837	6874	17	6	0.75
教育	22837	6874	17	6	0.75
あっ	22837	6874	13	5	0.74
山	22837	6874	6	3	0.73
雅	22837	6874	6	3	0.73
ミュージアム	22837	6874	6	3	0.73
言う	22837	6874	6	3	0.73
同じ	22837	6874	6	3	0.73
時代	22837	6874	6	3	0.73
